"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","database.id","database"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i0372856465","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_OTH_Male_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1890697837","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_PRL_Male_19-25: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1571311552","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_PRS_Female_19-25: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i0213061046","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_SYR_Male_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1706288102","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_LEB_Male_15-18: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-02-28","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Skills training enrollement","# of adolescents and youth (14+) supported by competency and market based skills training programme","i1245198923","Six Months Certified","4.2.e_Six months Ceritified_SYR_Male: # of adolescents and youth (14+) supported by competency and market based skills training programme","Adol/Youth","10","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m0308514364","s0269166877","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1635310628","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_PRL_Male_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-02-28","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Skills training enrollement","# of adolescents and youth (14+) supported by competency and market based skills training programme","i1140281087","Three Months Certified","4.2.e_Three Months Ceritified_LEB_Female: # of adolescents and youth (14+) supported by competency and market based skills training programme","Adol/Youth","66","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m0308514364","s0269166877","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i0623184334","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_LEB_Female_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1715413857","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_PRS_Female_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Income Generation","# of adolescents and youth who access employment or income generation opportunities","i1320356535",NA,"INDICATOR 4.1.H: # OF ADOLESCENTS AND YOUTH WHO ACCESS EMPLOYMENT OR INCOME GENERATION OPPORTUNITIES","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Skills training enrollement","# of adolescents and youth (14+) supported by competency and market based skills training programme","i1396088434",NA,"INDICATOR 4.2.E: # OF ADOLESCENTS AND YOUTH (14+) SUPPORTED BY COMPETENCY AND MARKET BASED SKILLS TRAINING PROGRAMME","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i0881256635","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_LEB_Male_15-18: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i2112911500","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_PRS_Female_15-18: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1544175616","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_SYR_Female_19-25: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","8","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i2031581867","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_SYR_Male_6-14: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i2116779494","Regulated BLN Trans & Equip","4.2.d_Regular BLN transportation & equipment_SYR_Male_15-18: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"YBLN","# of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","i1644306659","Regular BLN Registration Fees","4.2.d_Regular BLN registration fee_OTH_Male_19-25: # of male and female adolescents and youth (14+) who are supported for regulated NFE under the Youth BLN programme","Adol/Youth","0","tarane","37042","Miniyeh-Danniyeh","LBN55","Nord","4","LBN55086",34.40654,36.02962,"LOC: Tarane","SAFADI","p0000014516","SAFADI",NA,NA,"UNICEF","m1291997088","s0269166877","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
